Drug1,Drug2,Drug3,Score
vinblastine,raloxifene,hct116,-0.3891
decitabine,lenalidomide_hct,hct116,-0.2385
pralatrexate,vorinostat,hct116,-0.6743
hydroxyurea,paclitaxel,hct116,-0.2685
romidepsin,anastrozole,hct116,-0.2944
dactinomycin,etoposide,hct116,-0.4251
cladribine,letrozole,hct116,-0.2814
vorinostat,crizotinib,hct116,-0.061
sorafenib,crizotinib,hct116,-0.1788
vorinostat,fludarabine,hct116,-0.1138
mercaptopurine,hydroxyurea,hct116,-0.3189
megestrolacetate,daunorubicin,hct116,-0.3335
mepacrine,raloxifene,hct116,-0.3124
methoxsalen,teniposide_hct,hct116,-0.3115
ifosfamide,teniposide_hct,hct116,-0.2863
mercaptopurine,temozolomide_hct,hct116,-0.3043
nilotinib,teniposide_hct,hct116,-0.3342
mercaptopurine,raloxifene,hct116,-0.2426
chlorambucil,abiraterone,hct116,-0.1406
nilotinib,daunorubicin,hct116,-0.2884
methoxsalen,daunorubicin,hct116,-0.2509
methoxsalen,chlorambucil,hct116,-0.1844
nelarabine,dexrazoxane,hct116,-0.3359
docetaxel,lenalidomide_hct,hct116,-0.1967
altretamine,vinorelbine,hct116,-0.2909
letrozole,daunorubicin,hct116,-0.2828
decitabine,vismodegib,hct116,-0.1917
docetaxel,vandetanib,hct116,-0.3003
erlotinib,daunorubicin,hct116,-0.2736
fulvestrant,paclitaxel,hct116,-0.0616
erlotinib,dactinomycin,hct116,-0.2958
cyclophosphamide,chlorambucil,hct116,-0.1842
temozolomide_hct,teniposide_hct,hct116,-0.3151
celecoxib,chlorambucil,hct116,-0.2426
imiquimod_hct,daunorubicin,hct116,-0.2437
allopurinol,gemcitabine_hct,hct116,-0.3025
estramustinephosphatesodium,mercaptopurine,hct116,-0.2853
gemcitabine_hct,letrozole,hct116,-0.3084
docetaxel,dactinomycin,hct116,-0.0207
mercaptopurine,anastrozole,hct116,-0.3136
methoxsalen,dactinomycin,hct116,-0.2818
bendamustine,daunorubicin,hct116,-0.2657
chlorambucil,altretamine,hct116,-0.1411
mepacrine,lapatinib,hct116,-0.373
celecoxib,daunorubicin,hct116,-0.246
vinblastine,azacitidine,hct116,-0.0016
pralatrexate,floxuridine,hct116,-0.6195
daunorubicin,pazopanib,hct116,-0.2642
sorafenib,vandetanib,hct116,-0.2119
chlorambucil,dacarbazine,hct116,-0.1501
lapatinib,dexrazoxane,hct116,-0.3345
daunorubicin,vemurafenib_hct,hct116,-0.3149
mepacrine,anastrozole,hct116,-0.3992
gemcitabine_hct,anastrozole,hct116,-0.2476
letrozole,vinorelbine,hct116,-0.3128
mepacrine,nilotinib,hct116,-0.3234
sirolimus,mercaptopurine,hct116,0.0301
cladribine,celecoxib,hct116,-0.3023
dactinomycin,teniposide_hct,hct116,-0.4434
sorafenib,pazopanib,hct116,-0.2199
imatinib,vinorelbine,hct116,-0.3837
mercaptopurine,imatinib,hct116,-0.3637
topotecan,ruxolitinib,hct116,-0.2595
imiquimod_hct,vinorelbine,hct116,-0.3307
mercaptopurine,doxorubicin,hct116,-0.3787
ifosfamide,chlorambucil,hct116,-0.1415
sunitinib,chlorambucil,hct116,-0.1898
sorafenib,ruxolitinib,hct116,-0.178
sunitinib,floxuridine,hct116,-0.1043
exemestane,ruxolitinib,hct116,-0.2895
sirolimus,thiotepa,hct116,-0.05
temozolomide_hct,vinorelbine,hct116,-0.3459
ifosfamide,paclitaxel,hct116,-0.265
vinblastine,paclitaxel,hct116,0.0289
anastrozole,azacitidine,hct116,-0.0535
exemestane,pazopanib,hct116,-0.3172
capecitabine,daunorubicin,hct116,-0.3112
romidepsin,raloxifene,hct116,-0.3364
paclitaxel,nelarabine,hct116,0.0283
sorafenib,vismodegib,hct116,-0.2139
sorafenib,gefitinib,hct116,-0.164
sunitinib,thiotepa,hct116,-0.0615
temozolomide_hct,exemestane,hct116,-0.3531
vorinostat,gefitinib,hct116,-0.1558
chlorambucil,pazopanib,hct116,-0.1918
lapatinib,daunorubicin,hct116,-0.3284
mepacrine,capecitabine,hct116,-0.3624
procarbazine,mercaptopurine,hct116,-0.2278
vinblastine,dacarbazine,hct116,-0.267
chlorambucil,vemurafenib_hct,hct116,-0.1681
nelarabine,etoposide,hct116,-0.3446
nilotinib,chlorambucil,hct116,-0.2246
thiotepa,crizotinib,hct116,-0.0678
chlorambucil,ruxolitinib,hct116,-0.1562
decitabine,busulfan,hct116,-0.1938
bendamustine,chlorambucil,hct116,-0.1695
gemcitabine_hct,capecitabine,hct116,-0.2805
lapatinib,cladribine,hct116,-0.2487
mitotane,thiotepa,hct116,-0.0997
mepacrine,doxorubicin,hct116,-0.1939
sirolimus,gefitinib,hct116,-0.0995
nelarabine,daunorubicin,hct116,-0.2945
fluorouracil,adavosertib,hct116,-0.3955
letrozole,chlorambucil,hct116,-0.2479
lapatinib,teniposide_hct,hct116,-0.3826
estramustinephosphatesodium,daunorubicin,hct116,-0.1829
mitotane,daunorubicin,hct116,-0.2618
anastrozole,paclitaxel,hct116,-0.0289
sorafenib,vemurafenib_hct,hct116,-0.2144
daunorubicin,raloxifene,hct116,-0.2393
sirolimus,crizotinib,hct116,-0.1569
chlorambucil,raloxifene,hct116,-0.2458
imiquimod_hct,paclitaxel,hct116,-0.5624
mepacrine,celecoxib,hct116,-0.3988
pralatrexate,crizotinib,hct116,0.0029
erlotinib,vorinostat,hct116,-0.1749
decitabine,megestrolacetate,hct116,-0.2588
vorinostat,megestrolacetate,hct116,-0.1105
anastrozole,daunorubicin,hct116,-0.2868
mepacrine,imatinib,hct116,-0.4216
sorafenib,thiotepa,hct116,-0.096
imatinib,daunorubicin,hct116,-0.3543
decitabine,altretamine,hct116,-0.2592
procarbazine,mepacrine,hct116,-0.2638
procarbazine,thiotepa,hct116,-0.1541
lapatinib,thiotepa,hct116,-0.0923
doxorubicin,dactinomycin,hct116,-0.237
docetaxel,megestrolacetate,hct116,-0.4525
dasatinib,dactinomycin,hct116,0.0804
decitabine,fludarabine,hct116,-0.1731
chlorambucil,vandetanib,hct116,-0.1962
anastrozole,chlorambucil,hct116,-0.2475
nilotinib,dactinomycin,hct116,-0.2217
aminolevulinicacid,floxuridine,hct116,-0.1333
nelarabine,cladribine,hct116,-0.2783
vorinostat,lenalidomide_hct,hct116,-0.151
thiotepa,gefitinib,hct116,-0.1357
vorinostat,imatinib,hct116,-0.0659
fulvestrant,thiotepa,hct116,-0.079
lapatinib,floxuridine,hct116,-0.0807
streptozocin,vorinostat,hct116,-0.1651
estramustinephosphatesodium,vorinostat,hct116,-0.152
mepacrine,tamoxifen,hct116,-0.2025
vorinostat,letrozole,hct116,-0.1503
mepacrine,abiraterone,hct116,-0.2746
mitotane,chlorambucil,hct116,-0.2058
thiotepa,megestrolacetate,hct116,-0.1482
dasatinib,vorinostat,hct116,-0.1842
fluorouracil,geldanamycin_hct,hct116,-0.3972
streptozocin,mepacrine,hct116,-0.2335
mepacrine,sorafenib,hct116,-0.2774
dasatinib,floxuridine,hct116,-0.1021
cyclophosphamide,vorinostat,hct116,-0.1435
vinblastine,thiotepa,hct116,-0.0998
docetaxel,altretamine,hct116,-0.2779
busulfan,floxuridine,hct116,-0.0888
streptozocin,thiotepa,hct116,-0.1647
decitabine,mitotane,hct116,-0.064
sorafenib,raloxifene,hct116,-0.2155
mepacrine,vemurafenib_hct,hct116,-0.3031
procarbazine,vorinostat,hct116,-0.134
streptozocin,chlorambucil,hct116,-0.0775
ifosfamide,vorinostat,hct116,-0.1592
bortezomib,daunorubicin,hct116,-0.1111
ifosfamide,mercaptopurine,hct116,-0.2913
methoxsalen,mercaptopurine,hct116,-0.3223
thiotepa,lenalidomide_hct,hct116,-0.1881
dactinomycin,daunorubicin,hct116,-0.3509
decitabine,sirolimus,hct116,-0.0582
daunorubicin,lenalidomide_hct,hct116,-0.2527
thiotepa,letrozole,hct116,-0.1632
vemurafenib_hct,chlorambucil,hct116,-0.2249
pralatrexate,gefitinib,hct116,0.0288
allopurinol,vorinostat,hct116,-0.2077
decitabine,ruxolitinib,hct116,-0.2744
aminolevulinicacid,vorinostat,hct116,-0.0764
thiotepa,dacarbazine,hct116,-0.1398
vorinostat,tamoxifen,hct116,-0.1353
celecoxib,dactinomycin,hct116,-0.4819
tamoxifen,floxuridine,hct116,-0.1635
busulfan,clofarabine,hct116,0.0256
altretamine,daunorubicin,hct116,-0.2162
gemcitabine_hct,chlorambucil,hct116,-0.1818
decitabine,dasatinib,hct116,-0.1278
sunitinib,vorinostat,hct116,-0.2095
thalidomide_hct,mepacrine,hct116,-0.2207
fulvestrant,daunorubicin,hct116,-0.2622
bendamustine,vorinostat,hct116,-0.1813
bendamustine,floxuridine,hct116,-0.1537
mepacrine,temozolomide_hct,hct116,-0.1285
vorinostat,abiraterone,hct116,-0.16
nelarabine,chlorambucil,hct116,-0.2667
fluorouracil,dactolisib,hct116,-0.3753
thiotepa,abiraterone,hct116,-0.1135
vorinostat,nelarabine,hct116,-0.1475
hydroxyurea,daunorubicin,hct116,-0.2838
vorinostat,nilotinib,hct116,-0.1663
thiotepa,vemurafenib_hct,hct116,-0.1091
temozolomide_hct,thiotepa,hct116,-0.1661
thalidomide_hct,chlorambucil,hct116,-0.3422
imatinib,chlorambucil,hct116,-0.2697
docetaxel,clofarabine,hct116,-0.0442
nilotinib,thiotepa,hct116,-0.1437
vorinostat,dacarbazine,hct116,-0.1207
sorafenib,dactinomycin,hct116,0.0163
ixabepilone,chlorambucil,hct116,-0.1405
bendamustine,thiotepa,hct116,-0.1372
vorinostat,vemurafenib_hct,hct116,-0.1187
tamoxifen,thiotepa,hct116,-0.2087
daunorubicin,vismodegib,hct116,-0.3173
thiotepa,axitinib,hct116,-0.0573
vinblastine,pazopanib,hct116,-0.3325
mepacrine,allopurinol,hct116,-0.3919
mercaptopurine,lapatinib,hct116,-0.2848
thalidomide_hct,thiotepa,hct116,-0.1838
vorinostat,vinblastine,hct116,-0.1692
mercaptopurine,letrozole,hct116,-0.3426
vorinostat,pazopanib,hct116,-0.1399
procarbazine,chlorambucil,hct116,-0.1558
hydroxyurea,thiotepa,hct116,-0.1642
sorafenib,floxuridine,hct116,-0.1533
dasatinib,thiotepa,hct116,-0.0778
busulfan,pralatrexate,hct116,-0.3503
sirolimus,lenalidomide_hct,hct116,-0.1293
thiotepa,vandetanib,hct116,-0.1222
estramustinephosphatesodium,decitabine,hct116,-0.1462
vorinostat,axitinib,hct116,-0.088
chlorambucil,lenalidomide_hct,hct116,-0.1547
decitabine,tamoxifen,hct116,-0.1423
methoxsalen,thiotepa,hct116,-0.2231
hydroxyurea,vorinostat,hct116,-0.2001
vorinostat,capecitabine,hct116,-0.2059
vorinostat,ruxolitinib,hct116,-0.1422
thiotepa,vismodegib,hct116,-0.1266
lapatinib,vorinostat,hct116,-0.1453
mitotane,vorinostat,hct116,-0.2808
vorinostat,vismodegib,hct116,-0.1405
nilotinib,mercaptopurine,hct116,-0.0473
sirolimus,altretamine,hct116,-0.0984
erlotinib,chlorambucil,hct116,-0.2336
etoposide,adavosertib,hct116,-0.3652
etoposide,dactolisib,hct116,-0.3998
nelarabine,mercaptopurine,hct116,-0.0826
ifosfamide,mepacrine,hct116,-0.2363
thalidomide_hct,floxuridine,hct116,-0.1936
estramustinephosphatesodium,thiotepa,hct116,-0.2347
fluorouracil,bortezomib,hct116,-0.6321
anastrozole,thiotepa,hct116,-0.0286
fludarabine,floxuridine,hct116,-0.252
procarbazine,floxuridine,hct116,-0.1417
vinblastine,vemurafenib_hct,hct116,-0.3835
vorinostat,sirolimus,hct116,-0.1289
aminolevulinicacid,thiotepa,hct116,-0.1311
capecitabine,chlorambucil,hct116,-0.196
capecitabine,mercaptopurine,hct116,-0.0591
vorinostat,anastrozole,hct116,-0.2041
decitabine,doxorubicin,hct116,-0.1648
anastrozole,vorinostat,hct116,-0.0812
sirolimus,megestrolacetate,hct116,-0.1068
aminolevulinicacid,chlorambucil,hct116,-0.1555
doxorubicin,vorinostat,hct116,-0.2817
sirolimus,axitinib,hct116,-0.201
erlotinib,thiotepa,hct116,-0.3021
mepacrine,letrozole,hct116,-0.3799
vinblastine,dactinomycin,hct116,-0.0316
allopurinol,chlorambucil,hct116,-0.2052
sunitinib,clofarabine,hct116,-0.0283
azacitidine,crizotinib,hct116,-0.1063
ifosfamide,thiotepa,hct116,-0.2109
mepacrine,nelarabine,hct116,-0.3743
nelarabine,thiotepa,hct116,-0.2203
azacitidine,gefitinib,hct116,-0.1621
vorinostat,celecoxib,hct116,-0.2073
decitabine,temozolomide_hct,hct116,-0.1312
aminolevulinicacid,pralatrexate,hct116,-0.1902
vemurafenib_hct,daunorubicin,hct116,-0.3117
temozolomide_hct,daunorubicin,hct116,-0.2732
dactinomycin,chlorambucil,hct116,-0.393
decitabine,pazopanib,hct116,-0.1888
dexrazoxane,doxorubicin,hct116,-0.1702
capecitabine,floxuridine,hct116,-0.1107
busulfan,gefitinib,hct116,-0.1355
decitabine,raloxifene,hct116,-0.2131
pralatrexate,fludarabine,hct116,-0.6343
busulfan,crizotinib,hct116,-0.1014
floxuridine,letrozole,hct116,-0.1677
doxorubicin,floxuridine,hct116,-0.2641
thalidomide_hct,dactinomycin,hct116,-0.2228
etoposide,bortezomib,hct116,-0.6188
thiotepa,ruxolitinib,hct116,-0.1087
chlorambucil,vismodegib,hct116,-0.19
methoxsalen,floxuridine,hct116,-0.2059
imiquimod_hct,vorinostat,hct116,-0.1879
vorinostat,altretamine,hct116,-0.1515
sirolimus,floxuridine,hct116,-0.105
azacitidine,dacarbazine,hct116,-0.1073
lapatinib,chlorambucil,hct116,-0.2519
decitabine,streptozocin,hct116,-0.2261
aminolevulinicacid,crizotinib,hct116,-0.0539
decitabine,ifosfamide,hct116,-0.1248
ifosfamide,floxuridine,hct116,-0.2197
sorafenib,altretamine,hct116,-0.2808
clofarabine,fludarabine,hct116,0.0057
capecitabine,dactinomycin,hct116,-0.0027
pralatrexate,docetaxel,hct116,-0.7509
sirolimus,dacarbazine,hct116,-0.1482
cyclophosphamide,floxuridine,hct116,-0.1737
azacitidine,megestrolacetate,hct116,-0.0716
erlotinib,floxuridine,hct116,-0.2674
cyclophosphamide,thiotepa,hct116,-0.1772
estramustinephosphatesodium,clofarabine,hct116,-0.0308
mitotane,floxuridine,hct116,-0.0934
nelarabine,dactinomycin,hct116,-0.0177
azacitidine,axitinib,hct116,-0.1089
thiotepa,raloxifene,hct116,-0.1286
decitabine,sorafenib,hct116,-0.1985
decitabine,lapatinib,hct116,-0.1794
docetaxel,fludarabine,hct116,0.0585
pralatrexate,fulvestrant,hct116,0.0262
decitabine,fulvestrant,hct116,-0.2105
imiquimod_hct,thiotepa,hct116,-0.3136
dasatinib,clofarabine,hct116,-0.1147
pralatrexate,hydroxyurea,hct116,-0.0631
nilotinib,floxuridine,hct116,-0.1645
decitabine,anastrozole,hct116,-0.199
floxuridine,celecoxib,hct116,-0.1585
decitabine,sunitinib,hct116,-0.2133
temozolomide_hct,chlorambucil,hct116,-0.2309
busulfan,megestrolacetate,hct116,-0.0817
imiquimod_hct,chlorambucil,hct116,-0.2147
celecoxib,crizotinib,hct116,-0.1183
vorinostat,vandetanib,hct116,-0.1185
decitabine,imiquimod_hct,hct116,-0.1302
gefitinib,crizotinib,hct116,-0.1547
thiotepa,altretamine,hct116,-0.1296
vinblastine,floxuridine,hct116,-0.0999
erlotinib,decitabine,hct116,-0.2
thalidomide_hct,vorinostat,hct116,-0.1599
streptozocin,floxuridine,hct116,-0.1593
hydroxyurea,floxuridine,hct116,-0.1285
sorafenib,vorinostat,hct116,-0.1668
decitabine,vinblastine,hct116,-0.1885
decitabine,methoxsalen,hct116,-0.2235
decitabine,nelarabine,hct116,-0.2003
crizotinib,gefitinib,hct116,-0.0403
allopurinol,thiotepa,hct116,-0.1204
pralatrexate,axitinib,hct116,-0.0144
busulfan,dacarbazine,hct116,-0.0585
busulfan,axitinib,hct116,-0.0702
vorinostat,temozolomide_hct,hct116,-0.1497
imiquimod_hct,floxuridine,hct116,-0.3016
pralatrexate,sirolimus,hct116,-0.7706
azacitidine,lenalidomide_hct,hct116,-0.174
busulfan,sirolimus,hct116,-0.0795
dasatinib,crizotinib,hct116,-0.0977
pralatrexate,altretamine,hct116,0.0069
allopurinol,floxuridine,hct116,-0.1532
fulvestrant,vorinostat,hct116,-0.0908
pralatrexate,dasatinib,hct116,-0.7648
pralatrexate,mitotane,hct116,0.0564
decitabine,imatinib,hct116,-0.1877
fulvestrant,floxuridine,hct116,-0.0826
sorafenib,clofarabine,hct116,-0.0354
doxorubicin,pralatrexate,hct116,-0.2688
allopurinol,clofarabine,hct116,0.032
streptozocin,clofarabine,hct116,-0.1217
ifosfamide,crizotinib,hct116,-0.07
sirolimus,ruxolitinib,hct116,-0.2067
busulfan,fludarabine,hct116,-0.1143
methoxsalen,vorinostat,hct116,-0.2006
crizotinib,axitinib,hct116,-0.0739
thiotepa,pazopanib,hct116,-0.0671
busulfan,docetaxel,hct116,-0.1434
streptozocin,crizotinib,hct116,-0.0092
clofarabine,bendamustine,hct116,-0.0387
fludarabine,gefitinib,hct116,0.0021
azacitidine,altretamine,hct116,-0.1123
azacitidine,vandetanib,hct116,-0.1608
azacitidine,pazopanib,hct116,-0.1776
vinblastine,vorinostat,hct116,-0.0065
axitinib,crizotinib,hct116,-0.1004
imatinib,floxuridine,hct116,-0.0803
clofarabine,hydroxyurea,hct116,-0.1008
busulfan,abiraterone,hct116,-0.1052
pralatrexate,lenalidomide_hct,hct116,0.0166
clofarabine,imatinib,hct116,-0.0353
azacitidine,abiraterone,hct116,-0.1382
allopurinol,pralatrexate,hct116,-0.3897
fludarabine,crizotinib,hct116,0.0034
capecitabine,thiotepa,hct116,-0.154
decitabine,nilotinib,hct116,-0.1732
sirolimus,vismodegib,hct116,-0.2432
sirolimus,clofarabine,hct116,0.0424
pralatrexate,megestrolacetate,hct116,0.0231
pralatrexate,abiraterone,hct116,-0.0131
decitabine,thalidomide_hct,hct116,-0.2375
sirolimus,raloxifene,hct116,-0.1743
lapatinib,clofarabine,hct116,-0.0738
decitabine,celecoxib,hct116,-0.2
busulfan,ruxolitinib,hct116,-0.0786
azacitidine,vemurafenib_hct,hct116,-0.154
crizotinib,dacarbazine,hct116,-0.0513
busulfan,dasatinib,hct116,-0.1709
clofarabine,fulvestrant,hct116,-0.0452
sirolimus,vemurafenib_hct,hct116,-0.2418
clofarabine,nelarabine,hct116,-0.0277
methoxsalen,busulfan,hct116,-0.0787
estramustinephosphatesodium,fludarabine,hct116,-0.0774
busulfan,sunitinib,hct116,0.0007
mitotane,doxorubicin,hct116,-0.0674
pralatrexate,sunitinib,hct116,-0.7903
imatinib,thiotepa,hct116,-0.0851
clofarabine,nilotinib,hct116,-0.0493
estramustinephosphatesodium,crizotinib,hct116,0.0883
estramustinephosphatesodium,busulfan,hct116,-0.1768
sirolimus,pazopanib,hct116,-0.2507
docetaxel,tamoxifen,hct116,-0.2285
methoxsalen,clofarabine,hct116,-0.1933
busulfan,pazopanib,hct116,-0.0634
pralatrexate,vismodegib,hct116,0.0431
busulfan,bendamustine,hct116,-0.0825
thalidomide_hct,busulfan,hct116,-0.0466
erlotinib,clofarabine,hct116,-0.2288
crizotinib,megestrolacetate,hct116,-0.0671
thiotepa,celecoxib,hct116,-0.2083
abiraterone,crizotinib,hct116,-0.1351
crizotinib,vismodegib,hct116,-0.108
ifosfamide,clofarabine,hct116,-0.1456
vemurafenib_hct,raloxifene,hct116,-0.1426
pralatrexate,sorafenib,hct116,-0.0238
anastrozole,floxuridine,hct116,-0.058
procarbazine,crizotinib,hct116,-0.0618
clofarabine,celecoxib,hct116,-0.1316
thalidomide_hct,gefitinib,hct116,-0.0141
pralatrexate,bendamustine,hct116,0.0039
nelarabine,floxuridine,hct116,-0.2057
pralatrexate,anastrozole,hct116,0.0076
clofarabine,letrozole,hct116,-0.0659
pralatrexate,vinblastine,hct116,0.0365
allopurinol,crizotinib,hct116,-0.1423
anastrozole,busulfan,hct116,-0.0885
busulfan,lenalidomide_hct,hct116,-0.1235
hydroxyurea,crizotinib,hct116,-0.1093
busulfan,doxorubicin,hct116,0.0028
erlotinib,crizotinib,hct116,-0.1012
gefitinib,axitinib,hct116,-0.0783
vorinostat,raloxifene,hct116,-0.1656
docetaxel,sirolimus,hct116,0.0103
tamoxifen,crizotinib,hct116,-0.1137
pralatrexate,vandetanib,hct116,0.0294
crizotinib,lenalidomide_hct,hct116,-0.0448
erlotinib,busulfan,hct116,-0.0497
vismodegib,crizotinib,hct116,-0.1172
procarbazine,clofarabine,hct116,-0.1379
pralatrexate,temozolomide_hct,hct116,-0.8121
bendamustine,crizotinib,hct116,-0.1191
thalidomide_hct,crizotinib,hct116,-0.1682
dasatinib,gefitinib,hct116,-0.1072
clofarabine,mitotane,hct116,-0.0726
mitotane,clofarabine,hct116,0.0385
hydroxyurea,gefitinib,hct116,-0.1035
busulfan,vinblastine,hct116,-0.0864
cyclophosphamide,busulfan,hct116,-0.0436
gefitinib,abiraterone,hct116,-0.109
dacarbazine,gefitinib,hct116,-0.0924
tamoxifen,fludarabine,hct116,-0.0794
cladribine,gefitinib,hct116,-0.127
cyclophosphamide,clofarabine,hct116,0.0182
imiquimod_hct,crizotinib,hct116,-0.0688
aminolevulinicacid,clofarabine,hct116,0.0268
busulfan,sorafenib,hct116,-0.054
mitotane,crizotinib,hct116,-0.2319
sunitinib,crizotinib,hct116,-0.0992
gemcitabine_hct,gefitinib,hct116,-0.1345
cladribine,vismodegib,hct116,-0.0325
cladribine,axitinib,hct116,-0.0771
busulfan,tamoxifen,hct116,-0.0529
imiquimod_hct,clofarabine,hct116,-0.2707
estramustinephosphatesodium,gefitinib,hct116,0.0189
pralatrexate,pazopanib,hct116,-0.0096
anastrozole,clofarabine,hct116,0.042
pralatrexate,ruxolitinib,hct116,-0.0065
ruxolitinib,crizotinib,hct116,-0.1156
sorafenib,fludarabine,hct116,-0.0078
dasatinib,docetaxel,hct116,0.0077
pralatrexate,lapatinib,hct116,-0.8462
crizotinib,altretamine,hct116,-0.106
bortezomib,crizotinib,hct116,-0.0851
fludarabine,dacarbazine,hct116,0.0785
adavosertib,dasatinib,hct116,-0.2528
crizotinib,ruxolitinib,hct116,-0.1112
mitotane,fludarabine,hct116,-0.0504
adavosertib,veliparib,hct116,-0.0587
valrubicin,crizotinib,hct116,-0.1705
fludarabine,lenalidomide_hct,hct116,0.0186
estramustinephosphatesodium,docetaxel,hct116,-0.5484
fulvestrant,clofarabine,hct116,0.0059
pralatrexate,letrozole,hct116,-0.8035
busulfan,mitotane,hct116,-0.1096
mitotane,gefitinib,hct116,-0.123
megestrolacetate,gefitinib,hct116,-0.1231
vemurafenib_hct,crizotinib,hct116,-0.1277
doxorubicin,fludarabine,hct116,-0.2082
fulvestrant,gefitinib,hct116,-0.1078
busulfan,fulvestrant,hct116,-0.1518
pralatrexate,nelarabine,hct116,-0.781
pralatrexate,imatinib,hct116,-0.7994
celecoxib,axitinib,hct116,-0.0287
sunitinib,gefitinib,hct116,-0.0844
estramustinephosphatesodium,axitinib,hct116,0.0639
imatinib,crizotinib,hct116,-0.1222
busulfan,raloxifene,hct116,-0.1474
fludarabine,megestrolacetate,hct116,0.0558
fludarabine,axitinib,hct116,0.0615
fulvestrant,crizotinib,hct116,-0.1568
aminolevulinicacid,gefitinib,hct116,-0.1452
gefitinib,vandetanib,hct116,-0.1258
adavosertib,mk2206_hct,hct116,-0.1601
hydroxyurea,fludarabine,hct116,-0.0076
pralatrexate,capecitabine,hct116,-0.8449
ifosfamide,busulfan,hct116,-0.0634
crizotinib,raloxifene,hct116,-0.1252
raloxifene,crizotinib,hct116,-0.1475
pralatrexate,nilotinib,hct116,-0.8527
pralatrexate,vemurafenib_hct,hct116,-0.0117
procarbazine,sirolimus,hct116,0.0176
sirolimus,tamoxifen,hct116,0.0016
estramustinephosphatesodium,doxorubicin,hct116,-0.1705
sorafenib,docetaxel,hct116,-0.1807
thalidomide_hct,clofarabine,hct116,-0.1368
cyclophosphamide,crizotinib,hct116,-0.0091
cladribine,dacarbazine,hct116,-0.0196
clofarabine,temozolomide_hct,hct116,-0.0845
aminolevulinicacid,docetaxel,hct116,-0.0847
pralatrexate,celecoxib,hct116,-0.8384
busulfan,vandetanib,hct116,-0.0763
clofarabine,vinblastine,hct116,-0.1193
vinblastine,clofarabine,hct116,0.0883
ixabepilone,gefitinib,hct116,-0.0786
valrubicin,gefitinib,hct116,-0.0043
erlotinib,gefitinib,hct116,-0.1391
anastrozole,crizotinib,hct116,-0.1214
docetaxel,letrozole,hct116,0.0784
docetaxel,imatinib,hct116,-0.1767
crizotinib,vandetanib,hct116,-0.1103
ixabepilone,crizotinib,hct116,-0.1622
procarbazine,gefitinib,hct116,-0.1523
sirolimus,fludarabine,hct116,0.0491
docetaxel,fulvestrant,hct116,-0.0641
procarbazine,fludarabine,hct116,-0.0858
gemcitabine_hct,axitinib,hct116,-0.0044
gefitinib,lenalidomide_hct,hct116,-0.0752
gefitinib,ruxolitinib,hct116,-0.099
lapatinib,docetaxel,hct116,-0.2624
dasatinib,ruxolitinib,hct116,0.0463
dasatinib,fludarabine,hct116,0.003
cyclophosphamide,docetaxel,hct116,-0.0353
streptozocin,gefitinib,hct116,-0.1084
doxorubicin,dasatinib,hct116,-0.2006
docetaxel,vinblastine,hct116,0.0834
nelarabine,crizotinib,hct116,-0.0894
dactinomycin,crizotinib,hct116,-0.3605
docetaxel,temozolomide_hct,hct116,0.0823
vandetanib,crizotinib,hct116,-0.1163
streptozocin,docetaxel,hct116,-0.0086
aminolevulinicacid,fludarabine,hct116,-0.0286
sunitinib,docetaxel,hct116,-0.1706
dasatinib,sirolimus,hct116,0.0247
vinblastine,fludarabine,hct116,-0.049
ifosfamide,gefitinib,hct116,-0.1193
allopurinol,busulfan,hct116,-0.102
letrozole,crizotinib,hct116,-0.1476
estramustinephosphatesodium,mitotane,hct116,-0.1406
fludarabine,vismodegib,hct116,0.0148
cladribine,ruxolitinib,hct116,-0.0509
busulfan,nilotinib,hct116,-0.2045
hydroxyurea,docetaxel,hct116,0.0827
imiquimod_hct,gefitinib,hct116,-0.0928
allopurinol,gefitinib,hct116,-0.1082
fludarabine,vemurafenib_hct,hct116,0.0842
docetaxel,nelarabine,hct116,0.0859
estramustinephosphatesodium,nelarabine,hct116,0.0021
mitotane,docetaxel,hct116,0.0166
aminolevulinicacid,sirolimus,hct116,-0.0324
allopurinol,fludarabine,hct116,-0.07
estramustinephosphatesodium,dacarbazine,hct116,0.0159
nilotinib,gefitinib,hct116,-0.1368
clofarabine,capecitabine,hct116,-0.1042
vemurafenib_hct,gefitinib,hct116,-0.162
tamoxifen,gefitinib,hct116,-0.0716
bendamustine,docetaxel,hct116,0.0695
estramustinephosphatesodium,sirolimus,hct116,-0.2706
sorafenib,sirolimus,hct116,-0.0134
doxorubicin,temozolomide_hct,hct116,-0.1743
gefitinib,vismodegib,hct116,-0.1332
estramustinephosphatesodium,dasatinib,hct116,-0.2078
bendamustine,gefitinib,hct116,-0.1061
streptozocin,axitinib,hct116,0.0296
anastrozole,fludarabine,hct116,0.002
methoxsalen,fludarabine,hct116,-0.1042
gemcitabine_hct,dacarbazine,hct116,-0.0531
celecoxib,abiraterone,hct116,0.0161
dacarbazine,abiraterone,hct116,0.0344
adavosertib,dactolisib,hct116,-0.4102
cladribine,pazopanib,hct116,-0.0438
crizotinib,vemurafenib_hct,hct116,-0.1016
altretamine,crizotinib,hct116,-0.0623
mitotane,axitinib,hct116,-0.1029
celecoxib,lenalidomide_hct,hct116,-0.0237
adavosertib,bortezomib,hct116,-0.5365
busulfan,celecoxib,hct116,-0.2186
